scenario,P_laser,P_EUV,eta,CE,pulse_freq,F1,F3,F7,type,droplet_diameter,pulse_width,plasma_temp,F2,F4,F5,F6
sweep,35.0,157.64202712475662,0.07506763196416982,0.06,72.0,0.6,0.98,0.85,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,93.9049440218053,0.03130164800726844,0.06,45.0,0.65,0.95,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,232.67135927669983,0.08617457750988883,0.06,45.0,0.6,0.9,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,99.87990247333519,0.06658660164889013,0.06,50.0,0.6,0.95,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,84.45108595969106,0.028150361986563687,0.06,27.0,0.6,0.98,0.85,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,102.94989526514718,0.08579157938762265,0.06,72.0,0.6,0.85,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,85.84204502255658,0.03179335000835429,0.06,54.0,0.6,0.98,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,358.4862424411375,0.1493692676838073,0.06,72.0,0.65,0.85,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,176.18814796296326,0.08389911807760154,0.06,54.0,0.7,0.95,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,21.89848087310116,0.014598987248734107,0.06,72.0,0.6,0.9,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,177.92515709394695,0.059308385697982316,0.06,27.0,0.65,0.9,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,91.48867645633197,0.030496225485443992,0.06,27.0,0.65,0.98,0.85,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,237.1928648867866,0.11294898327942218,0.06,50.0,0.65,0.98,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,43.08728875494441,0.02872485916996294,0.06,50.0,0.6,0.85,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,33.09103776379731,0.012255939912517522,0.06,72.0,0.6,0.85,0.8,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,143.5668461314748,0.0683651648245118,0.06,54.0,0.6,0.85,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,66.76603501754398,0.037092241676413326,0.06,54.0,0.7,0.98,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,54.89320587379919,0.018297735291266395,0.06,27.0,0.65,0.98,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,128.4170174657167,0.08561134497714447,0.06,45.0,0.6,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,48.86098544810697,0.018096661277076657,0.06,27.0,0.7,0.85,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,20.033054724651798,0.008347106135271582,0.06,36.0,0.65,0.95,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,13.443234091542655,0.011202695076285546,0.06,54.0,0.65,0.85,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,170.32151790189795,0.05677383930063265,0.06,27.0,0.7,0.9,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,356.1431951049209,0.14839299796038372,0.06,72.0,0.65,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,310.22847903559983,0.10340949301186661,0.06,54.0,0.6,0.9,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,95.22290814842714,0.05290161563801508,0.06,27.0,0.65,0.85,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,112.60144794625475,0.09383453995521229,0.06,45.0,0.6,0.98,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,25.037263131578992,0.020864385942982493,0.06,27.0,0.7,0.98,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,35.585031418789384,0.023723354279192924,0.06,36.0,0.65,0.9,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,81.75432859291101,0.045419071440506116,0.06,36.0,0.6,0.9,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,162.86995149368988,0.06032220425692218,0.06,63.0,0.6,0.85,0.9,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,413.63797204746635,0.13787932401582212,0.06,72.0,0.6,0.9,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,117.62829830099825,0.0653490546116657,0.06,45.0,0.65,0.9,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,63.67343782675117,0.04244895855116745,0.06,36.0,0.7,0.95,0.85,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,13.793677373416203,0.006568417796864859,0.06,27.0,0.7,0.98,0.85,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,91.91954934388141,0.030639849781293804,0.06,36.0,0.6,0.85,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,13.94113165048868,0.0066386341192803235,0.06,36.0,0.65,0.85,0.8,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,185.15565473305278,0.12343710315536852,0.06,63.0,0.65,0.85,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,89.89191222600166,0.04993995123666759,0.06,45.0,0.7,0.95,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,229.6186389492254,0.07653954631640847,0.06,72.0,0.65,0.98,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,84.45108595969106,0.046917269977606146,0.06,45.0,0.6,0.98,0.85,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,85.79157938762266,0.03574649141150944,0.06,36.0,0.7,0.85,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,40.552742357594745,0.027035161571729832,0.06,50.0,0.6,0.9,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,152.0119547274439,0.056300723973127374,0.06,27.0,0.6,0.98,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,18.978683423354337,0.007029142008649754,0.06,36.0,0.65,0.9,0.8,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,27.738075772594808,0.015410042095886005,0.06,27.0,0.6,0.95,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,222.55345005847994,0.08242720372536294,0.06,72.0,0.7,0.98,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,59.34758668226133,0.04945632223521777,0.06,36.0,0.6,0.98,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,169.89571410714316,0.09438650783730175,0.06,54.0,0.7,0.95,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,114.00896604558291,0.04222554297984552,0.06,63.0,0.7,0.9,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,107.87029467120199,0.044945956113000826,0.06,36.0,0.7,0.95,0.9,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,247.28161117608883,0.08242720372536294,0.06,72.0,0.7,0.98,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,59.9279414840011,0.03995196098933407,0.06,36.0,0.7,0.95,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,233.7189717876044,0.07790632392920147,0.06,54.0,0.65,0.95,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,55.10847334781409,0.045923727789845076,0.06,72.0,0.65,0.98,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,94.58521627485398,0.07882101356237832,0.06,54.0,0.6,0.98,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,112.68593282616638,0.06260329601453687,0.06,27.0,0.65,0.95,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,20.438582148227752,0.007569845240084352,0.06,36.0,0.7,0.9,0.8,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
